sesn,locn,block,rep,tillage,fert,plants_harvested,no_bigtubers,weigh_bigtubers,no_mediumtubers,weight_mediumtubers,no_smalltubers,weight_smalltubers,totaltuberno,av_tubers_plant,total_tubweight,plotsize,hec,totalweightperhectare,totaltuberperhectare
2.0,1.0,3.0,3.0,conv,F3200,28.0,0.0,0.0,81.0,3.3,138.0,3.9,219.0,7.821428571428571,7.199999999999999,5.3,10000.0,13584.905660377357,413207.5471698113
2.0,1.0,3.0,3.0,conv,F1100,28.0,0.0,0.0,68.0,2.9,276.0,5.2,344.0,12.285714285714286,8.1,5.3,10000.0,15283.018867924528,649056.6037735848
2.0,1.0,1.0,1.0,minimum,F2150,28.0,1.0,0.2,59.0,2.5,316.0,4.2,376.0,13.428571428571429,6.9,5.3,10000.0,13018.867924528304,709433.9622641511
2.0,1.0,1.0,1.0,minimum,F1100,28.0,0.0,0.0,77.0,3.0,266.0,3.5,343.0,12.25,6.5,5.3,10000.0,12264.150943396226,647169.8113207547
2.0,1.0,1.0,1.0,minimum,F3200,28.0,2.0,0.3,54.0,2.4,243.0,4.0,299.0,10.678571428571429,6.699999999999999,5.3,10000.0,12641.509433962263,564150.9433962264
2.0,1.0,1.0,1.0,minimum,F5300,28.0,0.0,0.0,60.0,3.0,278.0,4.7,338.0,12.071428571428571,7.7,5.3,10000.0,14528.301886792455,637735.8490566037
2.0,1.0,1.0,1.0,minimum,F4250,28.0,2.0,0.3,50.0,2.6,296.0,5.1,348.0,12.428571428571429,8.0,5.3,10000.0,15094.33962264151,656603.7735849057
2.0,1.0,2.0,2.0,minimum,F5300,28.0,2.0,0.2,37.0,1.7,285.0,4.1,324.0,11.571428571428571,6.0,5.3,10000.0,11320.754716981131,611320.7547169812
2.0,1.0,2.0,2.0,minimum,F3200,28.0,0.0,0.0,49.0,2.1,272.0,4.9,321.0,11.464285714285714,7.0,5.3,10000.0,13207.547169811322,605660.3773584906
2.0,1.0,2.0,2.0,minimum,F4250,28.0,0.0,0.0,51.0,2.3,220.0,3.6,271.0,9.678571428571429,5.9,5.3,10000.0,11132.075471698116,511320.75471698114
2.0,1.0,2.0,2.0,minimum,F1100,28.0,0.0,0.0,40.0,1.5,235.0,3.4,275.0,9.821428571428571,4.9,5.3,10000.0,9245.283018867925,518867.9245283019
2.0,1.0,2.0,2.0,minimum,F2150,28.0,1.0,0.2,44.0,2.2,251.0,3.6,296.0,10.571428571428571,6.0,5.3,10000.0,11320.754716981131,558490.5660377359
2.0,1.0,3.0,3.0,minimum,F4250,28.0,0.0,0.0,51.0,2.3,256.0,4.1,307.0,10.964285714285714,6.3999999999999995,5.3,10000.0,12075.471698113208,579245.283018868
2.0,1.0,3.0,3.0,minimum,F5300,28.0,2.0,0.3,73.0,3.4,264.0,4.5,339.0,12.107142857142858,8.2,5.3,10000.0,15471.698113207545,639622.641509434
2.0,1.0,3.0,3.0,minimum,F2150,28.0,2.0,0.2,28.0,1.3,242.0,3.8,272.0,9.714285714285714,5.3,5.3,10000.0,10000.0,513207.5471698113
2.0,1.0,3.0,3.0,minimum,F3200,28.0,0.0,0.0,49.0,2.9,232.0,3.6,281.0,10.035714285714286,6.5,5.3,10000.0,12264.150943396226,530188.679245283
2.0,1.0,3.0,3.0,minimum,F1100,28.0,0.0,0.0,29.0,1.3,262.0,4.0,291.0,10.392857142857142,5.3,5.3,10000.0,10000.0,549056.6037735849
1.0,1.0,1.0,1.0,conv,F1100,20.0,0.0,0.0,32.0,1.3,80.0,1.0,112.0,5.6,2.3,4.2,10000.0,5476.190476190475,266666.6666666666
1.0,1.0,1.0,1.0,conv,F3200,18.0,0.0,0.0,44.0,1.8,101.0,1.7,145.0,8.055555555555555,3.5,4.2,10000.0,8333.333333333332,345238.09523809527
1.0,1.0,1.0,1.0,conv,F2150,18.0,0.0,0.0,6.0,0.2,90.0,0.9,96.0,5.333333333333333,1.1,4.2,10000.0,2619.0476190476193,228571.42857142858
1.0,1.0,1.0,1.0,conv,F4250,20.0,3.0,0.5,93.0,3.9,101.0,1.8,197.0,9.85,6.2,4.2,10000.0,14761.904761904763,469047.61904761905
1.0,1.0,1.0,1.0,conv,F5300,19.0,3.0,0.4,25.0,1.2,148.0,2.0,176.0,9.263157894736842,3.6,4.2,10000.0,8571.42857142857,419047.61904761905
1.0,1.0,2.0,2.0,conv,F1100,19.0,0.0,0.0,75.0,4.5,120.0,2.4,195.0,10.263157894736842,6.9,4.2,10000.0,16428.571428571428,464285.71428571426
1.0,1.0,2.0,2.0,conv,F3200,15.0,13.75,1.7499999999999998,72.0,4.9,126.0,2.7,212.0,14.133333333333333,10.0,4.2,10000.0,23809.52380952381,504761.90476190473
1.0,1.0,2.0,2.0,conv,F2150,19.0,0.0,0.0,24.0,1.0,180.0,2.2,204.0,10.736842105263158,3.2,4.2,10000.0,7619.047619047618,485714.2857142857
1.0,1.0,2.0,2.0,conv,F4250,19.0,4.0,0.7,100.0,5.6,92.0,1.8,196.0,10.31578947368421,8.1,4.2,10000.0,19285.714285714283,466666.6666666666
1.0,1.0,2.0,2.0,conv,F5300,20.0,12.0,1.3,86.0,4.4,128.0,2.7,226.0,11.3,8.4,4.2,10000.0,20000.0,538095.2380952381
1.0,1.0,3.0,3.0,conv,F1100,15.0,10.0,1.3,98.0,5.4,119.0,1.9,227.0,15.133333333333333,8.6,4.2,10000.0,20476.190476190473,540476.1904761904
1.0,1.0,3.0,3.0,conv,F3200,17.0,13.75,1.7499999999999998,122.0,7.2,115.0,1.5,251.0,14.764705882352942,10.8,4.2,10000.0,25714.285714285717,597619.0476190476
1.0,1.0,3.0,3.0,conv,F2150,20.0,13.75,1.7499999999999998,124.0,7.0,109.0,1.8,269.0,13.45,13.9,4.2,10000.0,28911.725067385447,640476.1904761905
1.0,1.0,3.0,3.0,conv,F4250,19.0,13.75,1.7499999999999998,74.0,4.5,108.0,1.1,223.0,11.736842105263158,12.6,4.2,10000.0,28911.725067385447,530952.380952381
1.0,1.0,3.0,3.0,conv,F5300,19.0,13.75,1.7499999999999998,103.0,6.5,157.0,3.5,281.0,14.789473684210526,13.0,4.2,10000.0,28911.725067385447,669047.6190476189
1.0,1.0,2.0,2.0,minimum,F1100,16.0,0.0,0.0,37.0,2.5,109.0,2.0,146.0,9.125,4.5,4.2,10000.0,10714.285714285714,347619.0476190476
1.0,1.0,2.0,2.0,minimum,F3200,18.0,6.0,1.0,108.0,6.7,112.0,1.8,226.0,12.555555555555555,9.5,4.2,10000.0,22619.04761904762,538095.2380952381
1.0,1.0,2.0,2.0,minimum,F2150,18.0,0.0,0.0,47.0,2.2,145.0,2.0,192.0,10.666666666666666,4.2,4.2,10000.0,10000.0,457142.85714285716
1.0,1.0,2.0,2.0,minimum,F4250,18.0,0.0,0.0,35.0,2.2,160.0,2.3,195.0,10.833333333333334,4.5,4.2,10000.0,10714.285714285714,464285.71428571426
1.0,1.0,2.0,2.0,minimum,F5300,17.0,0.0,0.0,36.0,1.6,56.0,1.7,92.0,5.411764705882353,3.3,4.2,10000.0,7857.142857142856,219047.61904761905
1.0,1.0,3.0,3.0,minimum,F1100,20.0,13.75,1.7499999999999998,104.0,6.1,132.0,2.6,253.0,12.65,11.4,4.2,10000.0,27142.857142857145,602380.9523809523
1.0,1.0,3.0,3.0,minimum,F3200,18.0,13.75,1.7499999999999998,93.0,6.1,105.0,2.1,215.0,11.944444444444445,11.7,4.2,10000.0,27857.142857142855,511904.7619047619
1.0,1.0,3.0,3.0,minimum,F2150,18.0,8.0,1.3,101.0,6.5,120.0,2.5,229.0,12.722222222222221,10.3,4.2,10000.0,24523.809523809527,545238.0952380951
1.0,1.0,3.0,3.0,minimum,F4250,19.0,13.75,1.7499999999999998,124.0,7.925000000000001,104.0,2.3,254.0,13.368421052631579,14.100000000000001,4.2,10000.0,28911.725067385447,604761.9047619047
1.0,1.0,3.0,3.0,minimum,F5300,19.0,10.0,1.5,101.0,5.9,222.0,3.5,333.0,17.526315789473685,10.9,4.2,10000.0,25952.380952380954,792857.1428571427
1.0,2.0,1.0,1.0,conv,F1100,13.0,0.0,0.0,18.0,1.1,104.0,1.8,122.0,9.384615384615385,2.9000000000000004,4.2,10000.0,6904.7619047619055,290476.1904761905
1.0,2.0,1.0,1.0,conv,F3200,14.0,1.0,0.1,38.0,2.7,78.0,2.0,117.0,8.357142857142858,4.800000000000001,4.2,10000.0,11428.57142857143,278571.4285714286
1.0,2.0,1.0,1.0,conv,F2150,12.0,0.0,0.0,14.0,0.9,70.0,1.2,84.0,7.0,2.1,4.2,10000.0,5000.0,200000.0
1.0,2.0,1.0,1.0,conv,F4250,12.0,7.0,1.7499999999999998,35.0,2.9,107.0,2.5,149.0,12.416666666666666,7.3,4.2,10000.0,17380.952380952378,354761.90476190473
1.0,2.0,1.0,1.0,conv,F5300,10.0,13.75,1.7499999999999998,38.0,3.0,137.0,3.0,192.0,19.2,9.1,4.2,10000.0,21666.666666666664,457142.85714285716
1.0,2.0,2.0,2.0,conv,F1100,10.0,0.0,0.0,15.0,1.3,45.0,1.2,60.0,6.0,2.5,4.2,10000.0,5952.380952380952,142857.14285714284
1.0,2.0,2.0,2.0,conv,F3200,9.0,7.0,1.0,62.0,3.3,87.0,1.9,156.0,17.333333333333332,6.199999999999999,4.2,10000.0,14761.90476190476,371428.57142857136
1.0,2.0,2.0,2.0,conv,F2150,6.0,2.0,0.1,27.0,3.0,50.0,1.0,79.0,13.166666666666666,4.1,4.2,10000.0,9761.90476190476,188095.2380952381
1.0,2.0,2.0,2.0,conv,F4250,17.0,1.0,0.1,63.0,4.0,122.0,2.3,186.0,10.941176470588236,6.3999999999999995,4.2,10000.0,15238.095238095237,442857.14285714284
1.0,2.0,2.0,2.0,conv,F5300,15.0,11.0,1.7499999999999998,55.0,4.5,88.0,2.0,154.0,10.266666666666667,8.5,4.2,10000.0,20238.095238095237,366666.6666666666
1.0,2.0,3.0,3.0,conv,F1100,17.0,0.0,0.0,27.0,1.1,105.0,2.5,132.0,7.764705882352941,3.6,4.2,10000.0,8571.42857142857,314285.71428571426
1.0,2.0,3.0,3.0,conv,F3200,9.0,6.0,1.5,23.0,1.9,39.0,1.1,68.0,7.555555555555555,4.5,4.2,10000.0,10714.285714285714,161904.7619047619
1.0,2.0,3.0,3.0,conv,F2150,12.0,0.0,0.0,11.0,1.0,85.0,1.5,96.0,8.0,2.5,4.2,10000.0,5952.380952380952,228571.42857142858
1.0,2.0,3.0,3.0,conv,F4250,5.0,7.0,1.0,23.0,1.9,40.0,1.0,70.0,14.0,3.9,4.2,10000.0,9285.714285714284,166666.66666666666
1.0,2.0,3.0,3.0,conv,F5300,12.0,13.75,1.7499999999999998,34.0,3.0,37.0,1.6,90.0,7.5,7.699999999999999,4.2,10000.0,18333.333333333332,214285.71428571426
1.0,2.0,1.0,1.0,minimum,F1100,15.0,0.0,0.0,34.0,2.0,110.0,2.5,144.0,9.6,4.5,4.2,10000.0,10714.285714285714,342857.14285714284
1.0,2.0,1.0,1.0,minimum,F3200,12.0,0.0,0.0,50.0,4.9,106.0,3.8,156.0,13.0,8.7,4.2,10000.0,20714.28571428571,371428.57142857136
1.0,2.0,1.0,1.0,minimum,F2150,18.0,0.0,0.0,16.0,1.1,172.0,3.8,188.0,10.444444444444445,4.9,4.2,10000.0,11666.666666666668,447619.0476190476
1.0,2.0,1.0,1.0,minimum,F4250,15.0,5.0,1.0,38.0,3.0,142.0,3.0,185.0,12.333333333333334,7.0,4.2,10000.0,16666.666666666664,440476.1904761904
1.0,2.0,1.0,1.0,minimum,F5300,15.0,0.0,0.0,63.0,4.1,106.0,2.1,169.0,11.266666666666667,6.199999999999999,4.2,10000.0,14761.90476190476,402380.9523809523
1.0,2.0,2.0,2.0,minimum,F1100,7.0,0.0,0.0,39.0,2.8,88.0,1.7,127.0,18.142857142857142,4.5,4.2,10000.0,10714.285714285714,302380.95238095237
1.0,2.0,2.0,2.0,minimum,F3200,13.0,10.0,1.0,35.0,2.0,63.0,1.0,108.0,8.307692307692308,4.0,4.2,10000.0,9523.809523809523,257142.85714285713
1.0,2.0,2.0,2.0,minimum,F2150,10.0,0.0,0.0,15.0,1.0,46.0,1.0,61.0,6.1,2.0,4.2,10000.0,4761.9047619047615,145238.09523809524
1.0,2.0,2.0,2.0,minimum,F4250,14.0,10.0,1.7499999999999998,64.0,5.0,64.0,1.5,138.0,9.857142857142858,8.5,4.2,10000.0,20238.095238095237,328571.4285714285
1.0,2.0,2.0,2.0,minimum,F5300,12.0,0.0,0.0,66.0,5.3,84.0,3.0,150.0,12.5,8.3,4.2,10000.0,19761.904761904763,357142.85714285716
1.0,2.0,3.0,3.0,minimum,F1100,11.0,0.0,0.0,52.0,4.1,64.0,2.8,116.0,10.545454545454545,6.8999999999999995,4.2,10000.0,16428.571428571428,276190.47619047615
1.0,2.0,3.0,3.0,minimum,F3200,14.0,13.75,1.7499999999999998,54.0,4.8,79.0,1.0,153.0,10.928571428571429,9.3,4.2,10000.0,22142.857142857145,364285.71428571426
1.0,2.0,3.0,3.0,minimum,F2150,13.0,0.0,0.0,72.0,5.0,54.0,1.0,126.0,9.692307692307692,6.0,4.2,10000.0,14285.714285714286,300000.0
1.0,2.0,3.0,3.0,minimum,F5300,12.0,11.0,1.7499999999999998,56.0,4.0,84.0,2.0,151.0,12.583333333333334,8.0,4.2,10000.0,19047.619047619046,359523.80952380947
1.0,2.0,3.0,3.0,minimum,F4250,15.0,13.75,1.7499999999999998,40.0,4.8,82.0,1.6,143.0,9.533333333333333,8.4,4.2,10000.0,20000.0,340476.1904761904
2.0,2.0,1.0,1.0,minimum,F1100,17.0,0.0,0.0,18.0,1.0,98.0,1.2,116.0,6.823529411764706,2.2,4.2,10000.0,5238.0952380952385,276190.47619047615
2.0,2.0,1.0,1.0,minimum,F5300,17.0,0.0,0.0,13.0,0.5,84.0,0.9,97.0,5.705882352941177,1.4,4.2,10000.0,3333.333333333333,230952.38095238095
2.0,2.0,1.0,1.0,minimum,F4250,10.0,0.0,0.0,17.0,0.8,92.0,1.3,109.0,10.9,2.1,4.2,10000.0,5000.0,259523.80952380953
2.0,2.0,1.0,1.0,minimum,F3200,17.0,0.0,0.0,17.0,1.1,87.0,1.4,104.0,6.117647058823529,2.5,4.2,10000.0,5952.380952380952,247619.0476190476
2.0,2.0,1.0,1.0,minimum,F2150,14.0,0.0,0.0,10.0,0.9,67.0,1.1,77.0,5.5,2.0,4.2,10000.0,4761.9047619047615,183333.3333333333
2.0,2.0,2.0,2.0,minimum,F1100,15.0,0.0,0.0,11.0,0.5,46.0,1.0,57.0,3.8,1.5,4.2,10000.0,3571.4285714285716,135714.2857142857
2.0,2.0,2.0,2.0,minimum,F5300,13.0,0.0,0.0,21.0,1.0,51.0,0.5,72.0,5.538461538461538,1.5,4.2,10000.0,3571.4285714285716,171428.57142857142
2.0,2.0,2.0,2.0,minimum,F4250,15.0,0.0,0.0,31.0,2.1,95.0,2.0,126.0,8.4,4.1,4.2,10000.0,9761.90476190476,300000.0
2.0,2.0,2.0,2.0,minimum,F3200,18.0,0.0,0.0,20.0,1.0,87.0,2.1,107.0,5.944444444444445,3.1,4.2,10000.0,7380.952380952382,254761.90476190473
2.0,2.0,2.0,2.0,minimum,F2150,7.0,0.0,0.0,16.0,2.0,94.0,1.5,110.0,15.714285714285714,3.5,4.2,10000.0,8333.333333333332,261904.7619047619
2.0,2.0,3.0,3.0,minimum,F1100,15.0,0.0,0.0,11.0,0.5,50.0,1.0,61.0,4.066666666666666,1.5,4.2,10000.0,3571.4285714285716,145238.09523809524
2.0,2.0,3.0,3.0,minimum,F2150,16.0,0.0,0.0,30.0,1.0,85.0,0.9,115.0,7.1875,1.9,4.2,10000.0,4523.809523809523,273809.5238095238
2.0,2.0,3.0,3.0,minimum,F4250,18.0,0.0,0.0,28.0,2.0,120.0,3.0,148.0,8.222222222222221,5.0,4.2,10000.0,11904.761904761905,352380.9523809523
2.0,2.0,3.0,3.0,minimum,F5300,12.0,0.0,0.0,19.0,0.5,48.0,0.5,67.0,5.583333333333333,1.0,4.2,10000.0,2380.9523809523807,159523.80952380953
2.0,2.0,3.0,3.0,minimum,F3200,10.0,0.0,0.0,14.0,1.0,64.0,1.5,78.0,7.8,2.5,4.2,10000.0,5952.380952380952,185714.28571428568
2.0,2.0,1.0,1.0,conv,F1100,13.0,0.0,0.0,0.0,0.0,68.0,1.0,68.0,5.230769230769231,1.0,4.2,10000.0,2380.9523809523807,161904.7619047619
2.0,2.0,1.0,1.0,conv,F2150,14.0,0.0,0.0,29.0,1.8,70.0,1.4,99.0,7.071428571428571,3.2,4.2,10000.0,7619.047619047618,235714.28571428568
2.0,2.0,1.0,1.0,conv,F4250,14.0,0.0,0.0,26.0,1.5,84.0,2.0,110.0,7.857142857142857,3.5,4.2,10000.0,8333.333333333332,261904.7619047619
2.0,2.0,1.0,1.0,conv,F5300,18.0,0.0,0.0,38.0,2.5,120.0,2.5,158.0,8.777777777777779,5.0,4.2,10000.0,11904.761904761905,376190.4761904762
2.0,2.0,1.0,1.0,conv,F3200,17.0,0.0,0.0,17.0,0.5,109.0,2.0,126.0,7.411764705882353,2.5,4.2,10000.0,5952.380952380952,300000.0
2.0,2.0,2.0,2.0,conv,F1100,19.0,0.0,0.0,34.0,1.9,120.0,2.5,154.0,8.105263157894736,4.4,4.2,10000.0,10476.190476190477,366666.6666666666
2.0,2.0,2.0,2.0,conv,F4250,17.0,0.0,0.0,24.0,0.9,83.0,2.0,107.0,6.294117647058823,2.9,4.2,10000.0,6904.761904761905,254761.90476190473
2.0,2.0,2.0,2.0,conv,F3200,19.0,0.0,0.0,49.0,1.5,130.0,1.2,179.0,9.421052631578947,2.7,4.2,10000.0,6428.571428571429,426190.4761904762
2.0,2.0,2.0,2.0,conv,F5300,17.0,13.75,1.7499999999999998,46.0,1.1,87.0,1.5,147.0,8.647058823529411,4.6,4.2,10000.0,10952.38095238095,350000.0
2.0,2.0,2.0,2.0,conv,F2150,19.0,10.0,1.0,66.0,3.0,170.0,2.5,246.0,12.947368421052632,6.5,4.2,10000.0,15476.190476190475,585714.2857142857
2.0,2.0,3.0,3.0,conv,F1100,19.0,0.0,0.0,33.0,1.0,220.0,2.1,253.0,13.31578947368421,3.1,4.2,10000.0,7380.952380952382,602380.9523809523
2.0,2.0,3.0,3.0,conv,F5300,16.0,0.0,0.0,22.0,1.0,204.0,1.9,226.0,14.125,2.9,4.2,10000.0,6904.761904761905,538095.2380952381
2.0,2.0,3.0,3.0,conv,F2150,13.0,0.0,0.0,8.0,0.4,52.0,1.2,60.0,4.615384615384615,1.6,4.2,10000.0,3809.523809523809,142857.14285714284
2.0,2.0,3.0,3.0,conv,F4250,20.0,0.0,0.0,42.0,1.9,91.0,1.8,133.0,6.65,3.7,4.2,10000.0,8809.52380952381,316666.6666666666
2.0,2.0,3.0,3.0,conv,F3200,19.0,0.0,0.0,47.0,2.5,202.0,2.0,249.0,13.105263157894736,4.5,4.2,10000.0,10714.285714285714,592857.1428571428
